"dcat_id","dcat_name"
"1","Agricultural irrigation"
"2","Aquaculture"
"3","Aquifer recharge_Groundwater"
"4","Drinking water_Human consuption"
"5","Drinking water_Livestock"
"6","Industry"
"7","Land restoration_Marine waters"
"8","Land restoration_Surface freshwaters"
"9","Landscape irrigation_park, golf, garden etc."
"10","Recreation_swimming, boating, surfing etc."
"11","Urban_firefighting, car washing, toilet flusing etc."
"12","NR"
"13","Other"
"14","Agricultural fertilisation"
"15","Non agricultural fertilisation"
"16","Construction_Building industries"
"17","Land restoration_filling of pits, docks, wells..."